Week,SST,SSTA,SST,SSTA,SST,SSTA,SST,SSTA
1990/1/3,23.4,-0.4,25.1,-0.3,26.6,0,28.6,0.3
1990/1/4,23.4,-0.8,25.2,-0.3,26.6,0.1,28.6,0.3
1990/1/5,24.2,-0.3,25.3,-0.3,26.5,-0.1,28.6,0.3
1990/1/6,24.4,-0.5,25.5,-0.4,26.5,-0.1,28.4,0.2
1990/1/7,25.1,-0.2,25.8,-0.2,26.7,0.1,28.4,0.2
1990/1/8,25.8,0.2,26.1,-0.1,26.8,0.1,28.4,0.3
1990/1/9,25.9,-0.1,26.4,0,26.9,0.2,28.5,0.4
1990/1/10,26.1,-0.1,26.7,0.2,27.1,0.3,28.9,0.8
1990/1/11,26.1,-0.2,26.7,-0.1,27.2,0.3,29,0.8
1990/1/12,26.7,0.3,26.7,-0.2,27.3,0.2,28.9,0.7
1990/1/13,26.1,-0.4,26.9,-0.2,27.3,0.1,28.6,0.4
1990/1/14,26.1,-0.2,27.2,0,27.6,0.3,28.7,0.5
1990/1/15,25.7,-0.4,27.5,0.2,27.8,0.3,28.8,0.5
1990/1/16,25.6,-0.3,27.6,0.3,27.9,0.4,28.8,0.4
1990/1/17,25.1,-0.6,27.6,0.2,27.9,0.2,28.8,0.3
1990/1/18,25.3,0,27.7,0.2,28,0.2,28.9,0.4
1990/1/19,25.1,0,27.8,0.4,28.2,0.4,29.2,0.6
1990/1/20,24.6,-0.2,27.6,0.3,28.1,0.3,29,0.4
1990/1/21,24.2,-0.2,27.5,0.3,28.1,0.3,28.9,0.2
1990/1/22,24.3,0.1,27.4,0.3,28,0.2,28.8,0.1
1990/1/23,23.7,-0.2,27.2,0.2,28.1,0.3,29,0.2
1990/1/24,23.4,-0.1,27.1,0.3,27.9,0.2,28.9,0.1
1990/1/25,23.2,0,26.7,0.1,27.7,0,28.9,0.1
1990/1/26,22.8,-0.2,26.6,0.1,27.7,0,29,0.1
1990/1/27,22.5,-0.1,26.4,0,27.5,-0.1,29,0.1
1990/1/28,22.1,-0.3,26,-0.1,27.3,-0.2,28.9,0.1
1990/1/29,21.7,-0.4,25.8,-0.2,27.3,-0.1,28.9,0.1
1990/1/30,21.3,-0.5,25.4,-0.3,27.2,-0.1,28.8,0
1990/1/31,21,-0.5,25.7,0.1,27.4,0.2,29.1,0.3
1990/2/1,20.2,-1.1,25.1,-0.4,27.3,0.1,29.1,0.3
1990/2/2,20.6,-0.6,25.1,-0.2,27.1,0.1,29,0.3
1990/2/3,20.4,-0.5,25.2,0.1,27.2,0.3,29.3,0.6
1990/2/4,20.4,-0.3,25.1,0.1,27,0.2,29.2,0.5
1990/2/5,19.8,-0.7,24.9,0,27,0.2,29.2,0.5
1990/2/6,20.2,-0.3,25,0.1,26.9,0.2,29,0.4
1990/2/7,19.7,-0.8,24.9,0,26.7,0,28.9,0.3
1990/2/8,20.1,-0.3,24.7,-0.2,26.7,0,29.1,0.4
1990/2/9,20.3,-0.1,24.9,0.1,26.8,0,29.1,0.4
1990/2/10,20.3,-0.2,24.8,-0.1,26.7,0,29,0.3
1990/2/11,20.8,0.1,25.1,0.2,26.9,0.2,29.2,0.5
1990/2/12,20.1,-0.6,24.9,0,27,0.3,29.1,0.5
1990/2/13,20.3,-0.6,24.9,0,27,0.3,29.3,0.6
1990/2/14,20.1,-0.9,24.9,-0.1,27,0.4,29.3,0.6
1990/2/15,20.2,-1,24.7,-0.2,26.9,0.2,29.2,0.6
1990/2/16,20.5,-0.8,25,0.1,27,0.3,29.1,0.5
1990/2/17,20.8,-0.8,24.8,-0.1,26.7,0,29,0.4
1990/2/18,20.9,-0.9,24.6,-0.4,26.6,0,29,0.4
1990/2/19,21.5,-0.6,24.8,-0.3,26.5,-0.1,28.9,0.4
1990/2/20,22.2,-0.2,25.2,0.1,26.9,0.3,29.2,0.7
1990/2/21,22.1,-0.5,25,-0.1,26.8,0.3,29.3,0.8
1990/2/22,22.2,-0.8,24.9,-0.3,26.9,0.4,29.2,0.7
1990/2/23,23.3,0,25.3,0,27,0.4,29,0.6
1990/2/24,23.2,-0.5,25.3,-0.1,26.9,0.4,28.9,0.5
1990/2/25,23.5,-0.6,25.4,-0.1,27,0.4,29.1,0.8
1990/2/26,23.7,-0.7,25.7,0.1,27,0.5,29,0.8
1990/2/27,24.2,-0.6,25.8,0,27.1,0.5,29,0.8
